,E,R,C,S,N
count,1200.0,1200.0,1200.0,1200.0,1200.0
mean,0.02157738095238095,0.0008376114626114624,0.6726625966625965,0.09094666907166907,0.22559186091686087
std,0.06035727739664757,0.009767121163585265,0.17132886847978956,0.15543843702963386,0.05461019919500526
min,0.0,0.0,0.2857142857142857,0.0,0.0857142857142857
25%,0.0,0.0,0.5555555555555556,0.0,0.19999999999999998
50%,0.0,0.0,0.6666666666666666,0.0,0.22499999999999998
75%,0.0,0.0,0.7777777777777778,0.125,0.2571428571428571
max,0.25,0.14285714285714285,1.0,0.5714285714285714,0.4136363636363636
